feature,feature_set,ctx,instr,d_precision_Leg_minus_noLeg,d_recall_Leg_minus_noLeg,d_f1_Leg_minus_noLeg
neg-inversion,25,noCTX,FScot,-0.08333333333333331,0.0,-0.09999999999999998
neg-inversion,25,noCTX,ZS,0.0,0.0,0.0
neg-inversion,25,noCTX,ZScot,0.0,0.0,0.0
past-tense-swap,25,CTX1t,FS,0.0,0.0,0.0
past-tense-swap,25,CTX1t,FScot,-0.0714285714285714,0.0,-0.04395604395604402
past-tense-swap,25,CTX1t,ZS,0.06666666666666671,0.16666666666666663,0.09999999999999998
past-tense-swap,25,CTX1t,ZScot,-0.1964285714285714,-0.16666666666666663,-0.18681318681318687
past-tense-swap,25,CTX2t,FS,0.2272727272727273,0.16666666666666663,0.21848739495798314
past-tense-swap,25,CTX2t,FScot,0.125,0.16666666666666663,0.14285714285714285
past-tense-swap,25,CTX2t,ZS,-0.14444444444444443,-0.16666666666666663,-0.15833333333333333
past-tense-swap,25,CTX2t,ZScot,-0.1964285714285714,-0.16666666666666663,-0.18681318681318687
past-tense-swap,25,noCTX,FS,0.0714285714285714,0.16666666666666663,0.11538461538461542
past-tense-swap,25,noCTX,FScot,0.0,0.0,0.0
past-tense-swap,25,noCTX,ZS,0.125,0.0,0.07142857142857145
past-tense-swap,25,noCTX,ZScot,-0.05555555555555558,0.16666666666666663,0.033333333333333326
preterite-had,25,CTX1t,FS,0.0,0.0,0.0
preterite-had,25,CTX1t,FScot,0.0,0.0,0.0
preterite-had,25,CTX1t,ZS,0.06666666666666671,0.0,0.0714285714285714
preterite-had,25,CTX1t,ZScot,0.09999999999999998,0.0,0.09523809523809523
preterite-had,25,CTX2t,FS,0.06666666666666671,0.5,0.17142857142857137
preterite-had,25,CTX2t,FScot,-0.06666666666666671,0.0,-0.0714285714285714
preterite-had,25,CTX2t,ZS,0.3,0.5,0.38095238095238093
preterite-had,25,CTX2t,ZScot,0.2666666666666666,0.0,0.22857142857142865
preterite-had,25,noCTX,FS,-0.16666666666666663,0.0,-0.13333333333333341
preterite-had,25,noCTX,FScot,-0.09999999999999998,0.0,-0.09523809523809523
preterite-had,25,noCTX,ZS,0.2,0.5,0.2857142857142857
preterite-had,25,noCTX,ZScot,-0.06666666666666671,0.0,-0.0714285714285714
resultant-done,25,CTX1t,FS,-0.5,0.0,-0.33333333333333337
resultant-done,25,CTX1t,FScot,0.0,0.0,0.0
resultant-done,25,CTX1t,ZS,0.0,0.0,0.0
resultant-done,25,CTX1t,ZScot,0.0,0.0,0.0
resultant-done,25,CTX2t,FS,0.0,0.0,0.0
resultant-done,25,CTX2t,FScot,0.5,0.0,0.33333333333333337
resultant-done,25,CTX2t,ZS,-0.5,0.0,-0.33333333333333337
resultant-done,25,CTX2t,ZScot,-0.5,0.0,-0.33333333333333337
resultant-done,25,noCTX,FS,0.5,1.0,0.6666666666666666
resultant-done,25,noCTX,FScot,0.5,0.0,0.33333333333333337
resultant-done,25,noCTX,ZS,-0.5,0.0,-0.33333333333333337
resultant-done,25,noCTX,ZScot,0.5,0.0,0.33333333333333337
verb-stem,25,CTX1t,FS,0.09659090909090909,0.11764705882352942,0.1103896103896104
verb-stem,25,CTX1t,FScot,-0.20833333333333331,-0.11764705882352942,-0.15076923076923077
verb-stem,25,CTX1t,ZS,0.125,0.11764705882352941,0.12121212121212122
