feature,feature_set,ctx,instr,d_precision_Leg_minus_noLeg,d_recall_Leg_minus_noLeg,d_f1_Leg_minus_noLeg
resultant-done,25,CTX2t,FS,0.3333333333333333,1.0,0.5
resultant-done,25,CTX2t,FScot,0.0,0.0,0.0
resultant-done,25,CTX2t,ZS,-0.14492753623188404,0.0,-0.243161094224924
resultant-done,25,CTX2t,ZScot,0.023109243697478993,0.0,0.042145593869731796
resultant-done,25,noCTX,FS,-0.3333333333333333,-1.0,-0.5
resultant-done,25,noCTX,FScot,-0.25,-1.0,-0.4
resultant-done,25,noCTX,ZS,0.1388888888888889,0.0,0.2
resultant-done,25,noCTX,ZScot,0.022222222222222223,1.0,0.043478260869565216
verb-stem,25,CTX1t,FS,0.0014495944805313953,0.5,0.0029210241615578794
verb-stem,25,CTX1t,FScot,-0.0016273596715237091,0.0,-0.003208846543084936
verb-stem,25,CTX1t,ZS,0.0051846590909090905,0.5,0.010266080033521894
verb-stem,25,CTX1t,ZScot,0.001583167356110516,0.0,0.0031031031031031053
verb-stem,25,CTX2t,FS,-0.005204911819697813,0.0,-0.010197010197010196
verb-stem,25,CTX2t,FScot,-0.0029079952350921446,0.0,-0.00571841951152296
verb-stem,25,CTX2t,ZS,-0.0007122507122507109,0.0,-0.001399471310838129
verb-stem,25,CTX2t,ZScot,0.0015747514845313483,0.0,0.0030784030784030796
verb-stem,25,noCTX,FS,0.00028019052956010024,0.5,0.0006690794075605976
verb-stem,25,noCTX,FScot,-0.000924653255029364,0.0,-0.001823378671397596
verb-stem,25,noCTX,ZS,-0.0005158468141300762,0.0,-0.001013171225937184
verb-stem,25,noCTX,ZScot,-0.004247042946733348,-0.5,-0.008422694482355235
zero-3sg-pres-s,25,CTX1t,FS,0.09999999999999999,0.0,0.05
zero-3sg-pres-s,25,CTX1t,FScot,0.006956521739130431,0.0,0.00735294117647059
zero-3sg-pres-s,25,CTX1t,ZS,0.05714285714285714,0.2222222222222222,0.09090909090909091
zero-3sg-pres-s,25,CTX1t,ZScot,0.010374689188030514,0.11111111111111116,0.018994739918176504
zero-3sg-pres-s,25,CTX2t,FS,0.11904761904761904,0.1111111111111111,0.11666666666666667
zero-3sg-pres-s,25,CTX2t,FScot,-0.0035714285714285726,-0.1111111111111111,-0.014340871483728618
zero-3sg-pres-s,25,CTX2t,ZS,-0.05044955044955046,0.22222222222222227,-0.05514950166112957
zero-3sg-pres-s,25,CTX2t,ZScot,0.010132774283717685,0.0,0.017512077294685985
zero-3sg-pres-s,25,noCTX,FS,0.0,0.0,0.0
zero-3sg-pres-s,25,noCTX,FScot,0.027472527472527458,-0.1111111111111111,0.0024844720496894346
zero-3sg-pres-s,25,noCTX,ZS,-0.11764705882352941,-0.2222222222222222,-0.15384615384615385
zero-3sg-pres-s,25,noCTX,ZScot,-0.0174368979392757,-0.11111111111111105,-0.031389657373909335
zero-copula,25,CTX1t,FS,-0.029411764705882353,-0.06666666666666667,-0.04081632653061224
zero-copula,25,CTX1t,FScot,0.0,0.0,0.0
zero-copula,25,CTX1t,ZS,0.022308022308022313,0.2666666666666667,0.04395604395604395
zero-copula,25,CTX1t,ZScot,-0.015736130867709815,-0.4,-0.030409811683408457
zero-copula,25,CTX2t,FS,-0.058823529411764705,-0.06666666666666667,-0.0625
zero-copula,25,CTX2t,FScot,-0.0392156862745098,-0.13333333333333333,-0.06060606060606061
zero-copula,25,CTX2t,ZS,0.017846339987900785,0.33333333333333337,0.03711886875828546
zero-copula,25,CTX2t,ZScot,0.008897756686798965,0.05238095238095242,0.016305800588078054
zero-copula,25,noCTX,FS,-0.038461538461538464,-0.06666666666666667,-0.04878048780487805
