feature,feature_set,instr,leg,d_precision_noCTX_minus_CTX1t,d_recall_noCTX_minus_CTX1t,d_f1_noCTX_minus_CTX1t
resultant-done,25,FScot,Leg,0.25,0.0,0.1428571428571429
resultant-done,25,FScot,noLeg,0.0,0.0,0.0
resultant-done,25,ZS,Leg,0.0,0.0,0.0
resultant-done,25,ZS,noLeg,0.25,0.0,0.1428571428571429
resultant-done,25,ZScot,Leg,0.0,0.0,0.0
resultant-done,25,ZScot,noLeg,-0.25,0.0,-0.1428571428571429
verb-stem,25,FS,Leg,0.08333333333333331,0.04000000000000001,0.0548780487804878
verb-stem,25,FS,noLeg,0.08333333333333331,0.08000000000000002,0.08783783783783783
verb-stem,25,FScot,Leg,0.5,0.16,0.24242424242424243
verb-stem,25,FScot,noLeg,-0.08080808080808077,0.0,-0.01307189542483661
verb-stem,25,ZS,Leg,0.047058823529411764,-0.07999999999999999,-0.057142857142857134
verb-stem,25,ZS,noLeg,0.0625,0.0,0.015820698747528034
verb-stem,25,ZScot,Leg,-0.017094017094017144,-0.07999999999999999,-0.08049535603715169
verb-stem,25,ZScot,noLeg,0.18681318681318676,-0.04000000000000001,-0.01315789473684209
zero-3sg-pres-s,25,FS,Leg,-0.024390243902438935,-0.03125,-0.0273972602739726
zero-3sg-pres-s,25,FS,noLeg,0.0,0.0,0.0
zero-3sg-pres-s,25,FScot,Leg,0.0040697674418604946,-0.0625,-0.02111111111111108
zero-3sg-pres-s,25,FScot,noLeg,0.016840882694541204,0.0,0.010736764161421664
zero-3sg-pres-s,25,ZS,Leg,0.04761904761904767,0.0625,0.05405405405405406
zero-3sg-pres-s,25,ZS,noLeg,-0.015009380863039379,-0.0625,-0.03395716766351531
zero-3sg-pres-s,25,ZScot,Leg,0.07499999999999996,0.09375,0.08333333333333337
zero-3sg-pres-s,25,ZScot,noLeg,0.027472527472527486,-0.03125,0.00494861058241336
zero-copula,25,FS,Leg,0.048464668886422535,0.016393442622950727,0.03007518796992481
zero-copula,25,FS,noLeg,-0.024382991376746932,0.0,-0.011581920903954823
zero-copula,25,FScot,Leg,0.0,0.0,0.0
zero-copula,25,FScot,noLeg,0.003446115288220475,0.016393442622950727,0.010430247718383301
zero-copula,25,ZS,Leg,0.09782608695652173,-0.0491803278688524,0.011023244668104448
zero-copula,25,ZS,noLeg,0.04785714285714293,-0.032786885245901565,0.0018480018480019345
zero-copula,25,ZScot,Leg,0.008363201911589013,-0.09836065573770492,-0.047790738776952946
zero-copula,25,ZScot,noLeg,-0.051724137931034475,-0.0491803278688524,-0.05042016806722682
zero-pl-s,25,FS,Leg,0.33333333333333337,0.0,0.19999999999999996
zero-pl-s,25,FS,noLeg,0.2321428571428571,0.16666666666666663,0.20879120879120883
zero-pl-s,25,FScot,Leg,0.0,0.0,0.0
zero-pl-s,25,FScot,noLeg,-0.13333333333333341,0.0,-0.06060606060606066
zero-pl-s,25,ZS,Leg,-0.19047619047619047,-0.33333333333333337,-0.2564102564102565
zero-pl-s,25,ZS,noLeg,-0.04166666666666663,0.16666666666666674,0.04761904761904767
zero-pl-s,25,ZScot,Leg,-0.050000000000000044,-0.16666666666666663,-0.12727272727272732
zero-pl-s,25,ZScot,noLeg,0.033333333333333326,0.16666666666666674,0.10606060606060608
zero-poss,25,FS,Leg,0.06267806267806264,0.16666666666666674,0.09176788124156543
zero-poss,25,FS,noLeg,0.048531289910600295,0.16666666666666674,0.07754846779237023
zero-poss,25,FScot,Leg,-0.13888888888888884,0.08333333333333337,-0.011904761904761862
zero-poss,25,FScot,noLeg,0.0,0.0,0.0
zero-poss,25,ZS,Leg,-0.06666666666666665,0.08333333333333337,0.0
zero-poss,25,ZS,noLeg,-0.03809523809523807,0.0,-0.02279202279202286
zero-poss,25,ZScot,Leg,0.011111111111111183,0.08333333333333337,0.05627705627705637
zero-poss,25,ZScot,noLeg,0.018181818181818188,0.08333333333333337,0.055335968379446654
zero-rel-pronoun,25,FS,Leg,-0.057919621749408956,0.0,-0.037595907928388794
zero-rel-pronoun,25,FS,noLeg,0.014242878560719652,0.13157894736842113,0.05654761904761907
zero-rel-pronoun,25,FScot,Leg,-0.11729323308270678,-0.15789473684210525,-0.1384282624369142
zero-rel-pronoun,25,FScot,noLeg,0.02763157894736845,0.0,0.014170040485830038
zero-rel-pronoun,25,ZS,Leg,-0.07466150870406185,-0.18421052631578944,-0.11612903225806448
zero-rel-pronoun,25,ZS,noLeg,0.023859649122807025,-0.052631578947368474,-0.001913875598086201
zero-rel-pronoun,25,ZScot,Leg,0.005963029218843174,-0.05263157894736836,-0.021164021164021163
zero-rel-pronoun,25,ZScot,noLeg,-0.05754352030947785,-0.026315789473684292,-0.04505021520803443
