feature,feature_set,ctx,instr,d_precision_Leg_minus_noLeg,d_recall_Leg_minus_noLeg,d_f1_Leg_minus_noLeg
zero-copula,25,CTX1t,FScot,-0.014097744360902276,0.0,-0.006518904823989646
zero-copula,25,CTX1t,ZS,0.017857142857142905,0.016393442622950838,0.017094017094017144
zero-copula,25,CTX1t,ZScot,-0.0038932146829810943,0.049180327868852514,0.023092163694746204
zero-copula,25,noCTX,FS,0.0893984712529079,-0.016393442622950838,0.030952380952380953
zero-copula,25,noCTX,FScot,-0.01754385964912275,-0.016393442622950727,-0.016949152542372947
zero-copula,25,noCTX,ZS,0.0678260869565217,0.0,0.026269259914119658
zero-copula,25,noCTX,ZScot,0.056194125159642394,0.0,0.02572159298502008
zero-pl-s,25,CTX1t,FS,0.04166666666666663,0.16666666666666663,0.08571428571428574
zero-pl-s,25,CTX1t,FScot,0.0,0.0,0.0
zero-pl-s,25,CTX1t,ZS,0.19047619047619047,0.33333333333333337,0.2564102564102565
zero-pl-s,25,CTX1t,ZScot,0.0,0.0,0.0
zero-pl-s,25,noCTX,FS,0.1428571428571429,0.0,0.07692307692307687
zero-pl-s,25,noCTX,FScot,0.13333333333333341,0.0,0.06060606060606066
zero-pl-s,25,noCTX,ZS,0.04166666666666663,-0.16666666666666674,-0.04761904761904767
zero-pl-s,25,noCTX,ZScot,-0.08333333333333337,-0.33333333333333337,-0.2333333333333334
zero-poss,25,CTX1t,FS,0.01139601139601143,0.0,0.010796221322537103
zero-poss,25,CTX1t,FScot,0.19658119658119655,-0.08333333333333337,0.04190476190476189
zero-poss,25,CTX1t,ZS,0.09523809523809523,0.0,0.05128205128205121
zero-poss,25,CTX1t,ZScot,0.0888888888888888,0.0,0.03463203463203457
zero-poss,25,noCTX,FS,0.025542784163473775,0.0,0.025015634771732298
zero-poss,25,noCTX,FScot,0.05769230769230771,0.0,0.030000000000000027
zero-poss,25,noCTX,ZS,0.06666666666666665,0.08333333333333337,0.07407407407407407
zero-poss,25,noCTX,ZScot,0.08181818181818179,0.0,0.035573122529644285
zero-rel-pronoun,25,CTX1t,FS,0.09898242368177612,0.13157894736842113,0.11316526610644262
zero-rel-pronoun,25,CTX1t,FScot,0.106578947368421,0.07894736842105254,0.09311740890688258
zero-rel-pronoun,25,CTX1t,ZS,-0.019776714513556615,-0.052631578947368474,-0.031239388794567113
zero-rel-pronoun,25,CTX1t,ZScot,-0.01004228329809731,-0.026315789473684292,-0.017163504968383037
zero-rel-pronoun,25,noCTX,FS,0.026819923371647514,0.0,0.019021739130434756
zero-rel-pronoun,25,noCTX,FScot,-0.03834586466165424,-0.07894736842105271,-0.05948089401586165
zero-rel-pronoun,25,noCTX,ZS,-0.11829787234042549,-0.18421052631578944,-0.1454545454545454
zero-rel-pronoun,25,noCTX,ZScot,0.05346426623022371,-0.05263157894736836,0.006722689075630228
